No,Journal,Year,Month,Title,Authors,No.authors,Author1F,Author1L,LastF,LastL,PropF,PropL,CountryLast,CountryLast2,Region1,Region2,Subfield,Origin
30,The Auk,2003,April,MALE PARENTAL CARE IN GREATER RHEAS (RHEA AMERICANA) IN ARGENTINA,Gustavo J. Fern_ndez and Juan C. Reboreda,2,0,1,0,1,0,1,Argentina,Argentina,S America,Latin America,Ornithology,Based out of LA
26,The Auk,2004,April,ON THE VALIDITY AND CONFUSED IDENTITY OF SERPOPHAGA GRISEICEPS BERLIOZ 1959 (TYRANNIDAE),Sebastian K. Herzog and Juan Mazar Barnett,2,0,1,0,1,0,1,Argentina,Argentina,S America,Latin America,Ornithology,Based out of LA
27,The Auk,2004,April,PHYLOGENY OF EXTANT PENGUINS BASED ON INTEGUMENTARY AND BREEDING CHARACTERS,Norberto P. Giannini and Sara Bertilli,2,0,1,1,1,0.5,1,Argentina,Argentina,S America,Latin America,Ornithology,Based out of LA
19,The Auk,2006,April,"SEED PREFERENCES IN SPARROW SPECIES OF THE MONTE DESERT, ARGENTINA: IMPLICATIONS FOR SEED-GRANIVORE INTERACTIONS_","Vêctor R. Cueto,_Luis Marone_and_Javier Lopez de Casenave",3,0,1,0,1,0,0.666666667,Argentina,Argentina,S America,Latin America,Ornithology,Based out of LA
1,The Auk,2006,January,COSTS OF EGG PUNCTURES AND PARASITISM BY SHINY COWBIRDS (MOLOTHRUS BONARIENSIS) AT CREAMY-BELLIED THRUSH (TURDUS AMAUROCHALINUS) NESTS_,Andrea A. Asti__and_Juan C. Reboreda,2,1,1,0,1,0.5,1,Argentina,Argentina,S America,Latin America,Ornithology,Based out of LA
41,The Auk,2007,July,EARLY INFESTATION BY BOT FLIES (PHILORNIS SEGUYI) DECREASES CHICK SURVIVAL AND NESTING SUCCESS IN CHALK-BROWED MOCKINGBIRDS (MIMUS SATURNINUS)_,Fabi_n L. Rabuffetti_and_Juan C. Reboreda,2,0,1,0,1,0,1,Argentina,Argentina,S America,Latin America,Ornithology,Based out of LA
27,The Auk,2013,July,Can Nest Predation Explain the Lack of Defenses Against Cowbird Brood Parasitism in the Rufous-Collared Sparrow (Zonotrichia capensis)?,Mariana E. Carro_and_Gustavo J. Fern_ndez,2,1,1,0,1,0.5,1,Argentina,Argentina,S America,Latin America,Ornithology,Based out of LA
3,The Auk,2015,January,"Reproductive success of the specialist brood parasite Screaming Cowbird in an alternative host, the Chopi Blackbird",Alejandro G. Di Giacomo and Juan C. Rebored,2,0,1,0,1,0,1,Argentina,Argentina,S America,Latin America,Ornithology,Based out of LA
17,The Auk,2008,April,A New Species of Tyrannulet (Tyrannidae:_Phyllomyias) from Andean Foothills in Northwest Bolivia and Adjacent Peru Una Nueva Especie de Tyrannidae (Phyllomyias) del Piedemonte Andino del Noroeste de Bolivia y çreas Adyacentes del PerÒ_,"Sebastian K. Herzog,_Michael Kessler_and_Jos_ A. Balderrama",3,0,1,0,1,0,0.666666667,Bolivia,Bolivia,S America,Latin America,Ornithology,Based out of LA
12,The Auk,2009,January,Evolutionary Loss of the Extrinsis Syringeal Muscle Sternotrachealis in Darwin's Nothura (Nothura Darwinnii)_,Alvaro Garitano-Zavala,1,0,1,0,1,0,1,Bolivia,Bolivia,S America,Latin America,Ornithology,Based out of LA
5,The Auk,2014,January,Territorial system and adult dispersal in a cooperative-breeding tanager,Charles Duca and Miguel ‘ngelo Marini,2,0,1,0,1,0,1,Brazil,Brazil,S America,Latin America,Ornithology,Based out of LA
13,The Auk,2016,July,Breeding biology of the Tropeiro Seedeater (Sporophila beltoni),M_rcio Repenning and Carla Suertegaray Fontana,2,0,1,1,1,0.5,1,Brazil,Brazil,S America,Latin America,Ornithology,Based out of LA
8,The Auk,2004,January,STRUCTURE AND ORGANIZATION OF CANOPY BIRD ASSEMBLAGES IN CENTRAL AMAZONIA,Luciano Nicol_s Naka,1,0,1,0,1,0,1,Brazil,Brazil,S America,Latin America,Ornithology,Based out of LA
32,The Auk,2006,July,"MOLECULAR SYSTEMATICS AND PATTERNS OF DIVERSIFICATION IN_PYRRHURA_(PSITTACIDAE), WITH SPECIAL REFERENCE TO THE_PICTA-LEUCOTIS_COMPLEX_","Camila C. Ribas,_Leo Joseph_and_Cristina Y. Miyaki",3,1,1,1,1,0.666666667,0.666666667,Brazil,Brazil,S America,Latin America,Ornithology,Based out of LA
43,The Auk,2009,July,"Hybrid, Subspecies, or Species? The Validity and Taxonomic Status of_Phaethornis Loncuemareus Aethopyca_(Trochilidae)_","Vêtor De Q. Piacentini,_Alexandre Aleixo_and_Luês F. Silveira",3,0,1,0,1,0,0.666666667,Brazil,Brazil,S America,Latin America,Ornithology,Based out of LA
28,The Auk,2012,April,"Systematic Revision of the Spotted Antpitta (Grallariidae:_Hylopezus macularius), with Description of a Cryptic New Species from Brazilian Amazonia","Lincoln Silva Carneiro,_Luiz Pedreira Gonzaga,_P_ricles S. Rêgo,_Iracilda Sampaio,_Horacio Schneider_and_Alexandre Aleixo",6,0,1,0,1,0.16667,0.333333333,Brazil,Brazil,S America,Latin America,Ornithology,Based out of LA
4,The Auk,2012,January,Cleaning Associations between Birds and Herbivorous Mammals in Brazil: Structure and Complexity_,"Cristina Sazima,_Pedro Jordano,_Paulo R. GuimarÊesJr.,_S_rgio F. Dos Reis_and_Ivan Sazima",5,1,1,0,0,0.2,0.2,Brazil,Brazil,S America,Latin America,Ornithology,Based out of LA
39,The Auk,2013,July,Breeding Seasonality in Central Amazonian Rainforest Birds,"Philip C. Stouffer,_Erik I. Johnson_and_Richard O. BierregaardJr",3,0,0,0,1,0,0.333333333,Brazil,Brazil,S America,Latin America,Ornithology,Based out of LA
3,The Auk,2011,january,Flexibility of Foraging Behavior in Hummingbirds: The Role of Energy Constraints and Cognitive Abilities,"Paulina L. Gonz_lez-G‹mez, Rodrigo A. V_squez and Francisco Bozinovic",3,1,1,0,1,0.33,1,Chile,Chile,S America,Latin America,Ornithology,Based out of LA
